2022-11-21 14:26:30,470 INFO    MainThread:27816 [wandb_setup.py:_flush():68] Configure stats pid to 27816
2022-11-21 14:26:30,471 INFO    MainThread:27816 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Pietro\.config\wandb\settings
2022-11-21 14:26:30,471 INFO    MainThread:27816 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Pietro\Downloads\dtu\deeplearning\deep_rl_2022-main\wandb\settings
2022-11-21 14:26:30,471 INFO    MainThread:27816 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-21 14:26:30,471 INFO    MainThread:27816 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'raya3c\\example_maze.py', 'program': 'C:\\Users\\Pietro\\Downloads\\dtu\\deeplearning\\deep_rl_2022-main\\raya3c\\example_maze.py'}
2022-11-21 14:26:30,473 INFO    MainThread:27816 [wandb_setup.py:_flush():68] Applying login settings: {'mode': 'offline'}
2022-11-21 14:26:30,473 INFO    MainThread:27816 [wandb_init.py:_log_setup():476] Logging user logs to C:\Users\Pietro\Downloads\dtu\deeplearning\deep_rl_2022-main\wandb\offline-run-20221121_142630-2zt8ujip\logs\debug.log
2022-11-21 14:26:30,473 INFO    MainThread:27816 [wandb_init.py:_log_setup():477] Logging internal logs to C:\Users\Pietro\Downloads\dtu\deeplearning\deep_rl_2022-main\wandb\offline-run-20221121_142630-2zt8ujip\logs\debug-internal.log
2022-11-21 14:26:30,473 INFO    MainThread:27816 [wandb_init.py:init():516] calling init triggers
2022-11-21 14:26:30,473 INFO    MainThread:27816 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-21 14:26:30,473 INFO    MainThread:27816 [wandb_init.py:init():569] starting backend
2022-11-21 14:26:30,473 INFO    MainThread:27816 [wandb_init.py:init():573] setting up manager
2022-11-21 14:26:30,497 INFO    MainThread:27816 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn, using: spawn
2022-11-21 14:26:30,513 INFO    MainThread:27816 [wandb_init.py:init():580] backend started and connected
2022-11-21 14:26:30,530 INFO    MainThread:27816 [wandb_init.py:init():658] updated telemetry
2022-11-21 14:26:30,631 INFO    MainThread:27816 [wandb_init.py:init():728] starting run threads in backend
2022-11-21 14:26:31,063 INFO    MainThread:27816 [wandb_run.py:_console_start():1980] atexit reg
2022-11-21 14:26:31,066 INFO    MainThread:27816 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-21 14:26:31,066 INFO    MainThread:27816 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-21 14:26:31,066 INFO    MainThread:27816 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-21 14:26:31,066 INFO    MainThread:27816 [wandb_init.py:init():765] run started, returning control to user process
2022-11-21 14:26:34,157 WARNING MsgRouterThr:27816 [router.py:message_loop():77] message_loop has been closed
